defect_id,audit_id,timestamp_sec,gps_lat,gps_lon,param_id,param_name,defect_type,severity,confidence,description,evidence_frame_path
AUD-20260910-151256-DEF-020,AUD-20260910-151256,4.5,18.520418,73.8567135,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_020_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-021,AUD-20260910-151256,5.0,18.520419999999998,73.85671500000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_021_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-022,AUD-20260910-151256,5.0,18.520419999999998,73.85671500000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_022_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-023,AUD-20260910-151256,5.5,18.520422,73.8567165,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_023_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-024,AUD-20260910-151256,5.5,18.520422,73.8567165,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_024_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-025,AUD-20260910-151256,6.0,18.520424,73.856718,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_025_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-026,AUD-20260910-151256,6.0,18.520424,73.856718,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_026_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-027,AUD-20260910-151256,6.5,18.520425999999997,73.8567195,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_027_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-028,AUD-20260910-151256,6.5,18.520425999999997,73.8567195,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_028_MISSING_SIGNAGE.jpg
AUD-20260910-151256-DEF-029,AUD-20260910-151256,7.0,18.520428,73.85672100000001,PARAM_1,Zebra Crossing Condition,MISSING_CROSSING,CRITICAL DEFECT,0.36,No marked pedestrian crossing detected within active school zone gate frontage.,E:\SIH\Project\output\evidence_frames\evidence_029_MISSING_CROSSING.jpg
AUD-20260910-151256-DEF-030,AUD-20260910-151256,7.0,18.520428,73.85672100000001,PARAM_3,School Zone Signage,MISSING_SIGNAGE,CRITICAL DEFECT,0.92,Mandatory IRC:67 School Warning / Speed Restriction sign absent on school approach.,E:\SIH\Project\output\evidence_frames\evidence_030_MISSING_SIGNAGE.jpg
